Team;Produkt;Profit Q1;Profit Q2;Profit Q3;Profit Q4;Preis/hl W52
ROYAL Einzelhandel1;Premium-Flasche;0,146;0,141;0,131;0,124;481,8
ROYAL Einzelhandel1;Alkoholfrei-Flasche;0,167;0,166;0,171;0,168;390
ROYAL Einzelhandel1;Buegel-Flasche;0,167;0,171;0,168;0,168;399
ROYAL Einzelhandel1;Premium-6Pack;0,158;0,16;0,158;0,158;430
ROYAL Einzelhandel1;Buegel-Kasten;0;0;0;0;390
ROYAL Einzelhandel1;Premium-Kasten;0;0;0;0;420
ROYAL Einzelhandel1;Premium-Keg;0,161;0,16;0,158;0,158;400
ROYAL Einzelhandel1;Premium-Party;0,172;0,167;0,168;0,167;410
ROYAL Einzelhandel1;Premium-Dose;0,072;0,074;0,062;0,045;342
ROYAL Einzelhandel1;Premium-12Pack;0,154;0,14;0,132;0,129;467,5
ROYAL Einzelhandel1;Alkoholfrei-Kasten;0,139;0,135;0,13;0,12;418
